Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,04/01/2022,Vente,396000.0,54.0,,RUE,6670,DE NAVARRE,33000.0,BORDEAUX,33,63,,HB,203,,,,,,,,,,,,0,1.0,Maison,,71.0,4,S,,70.0,5577.4647887323945
,,,,,,,1,05/01/2022,Vente,158500.0,2.0,,RUE,8690,DU SOLEIL,33000.0,BORDEAUX,33,63,,HE,381,,9,,,,,,,,,,1,2.0,Appartement,,40.0,1,,,,3962.5
,,,,,,,1,07/01/2022,Vente,187000.0,66.0,,RUE,8760,STEHELIN CAUD,33200.0,BORDEAUX,33,63,,VX,97,,158,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,07/01/2022,Vente,187000.0,66.0,,RUE,8760,STEHELIN CAUD,33200.0,BORDEAUX,33,63,,VX,97,,5,,,,,,,,,,1,2.0,Appartement,,35.0,1,,,,5342.857142857143
,,,,,,,1,07/01/2022,Vente,187000.0,66.0,,RUE,8760,STEHELIN CAUD,33200.0,BORDEAUX,33,63,,VX,97,,189,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,03/01/2022,Vente,312500.0,15.0,,RUE,7495,POUDENSAN,33000.0,BORDEAUX,33,63,,LE,169,,,,,,,,,,,,0,1.0,Maison,,65.0,3,S,,45.0,4807.692307692308
,,,,,,,1,07/01/2022,Vente,25000.0,72.0,T,RUE,3575,FONFREDE,33800.0,BORDEAUX,33,63,,CT,485,,121,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,116000.0,58.0,,RUE,5495,LEYTEIRE,33000.0,BORDEAUX,33,63,,DR,113,,13,"18,80",,,,,,,,,1,2.0,Appartement,,20.0,1,,,,5800.0
,,,,,,,1,05/01/2022,Vente,299000.0,72.0,T,RUE,3575,FONFREDE,33800.0,BORDEAUX,33,63,,CT,485,,79,,,,,,,,,,1,2.0,Appartement,,71.0,1,,,,4211.267605633803
,,,,,,,1,05/01/2022,Vente,299000.0,72.0,T,RUE,3575,FONFREDE,33800.0,BORDEAUX,33,63,,CT,485,,106,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,505000.0,103.0,,RUE,1195,DE BRACH,33000.0,BORDEAUX,33,63,,ME,83,,,,,,,,,,,,0,1.0,Maison,,162.0,7,S,,111.0,3117.283950617284
,,,,,,,1,06/01/2022,Vente,107500.0,41.0,,AV,0355,D ARES,33200.0,BORDEAUX,33,63,,MI,202,,43,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,06/01/2022,Vente,107500.0,41.0,,AV,0355,D ARES,33200.0,BORDEAUX,33,63,,MI,202,,163,"17,87",,,,,,,,,1,2.0,Appartement,,20.0,1,,,,5375.0
,,,,,,,1,07/01/2022,Vente,680000.0,44.0,,RUE,1105,BOUFFARD,33000.0,BORDEAUX,33,63,,KH,44,,19,"112,08",20,,,,,,,,2,2.0,Appartement,,108.0,4,,,,6296.2962962962965
,,,,,,,1,07/01/2022,Vente,680000.0,44.0,,RUE,1105,BOUFFARD,33000.0,BORDEAUX,33,63,,KH,44,,2,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,62000.0,120.0,,RUE,3260,ETCHENIQUE,33200.0,BORDEAUX,33,63,,NI,103,,65,"18,45",,,,,,,,,1,2.0,Appartement,,19.0,1,,,,3263.157894736842
,,,,,,,1,06/01/2022,Vente,475000.0,116.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KV,122,,10,,5,"70,31",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,06/01/2022,Vente,475000.0,116.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KV,122,,10,,5,"70,31",,,,,,,2,2.0,Appartement,,67.0,3,,,,7089.55223880597
,,,,,,,1,06/01/2022,Vente,475000.0,116.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KV,122,,10,,5,"70,31",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,06/01/2022,Vente,475000.0,116.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KV,122,,10,,5,"70,31",,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,06/01/2022,Vente,475000.0,116.0,,RUE,6875,DU PALAIS GALLIEN,33000.0,BORDEAUX,33,63,,KV,122,,11,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,05/01/2022,Vente,152000.0,13.0,,RUE,7775,RATEAU,33800.0,BORDEAUX,33,63,,CT,266,,3,"32,91",,,,,,,,,1,2.0,Appartement,,33.0,2,,,,4606.060606060606
