Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,prix_m2
,,,,,,,1,03/01/2022,Vente,219900.0,8.0,,RUE,1653,CHEVALIER DE LA BARRE,59260.0,LILLE,59,350,298.0,AO,261,,,,,,,,,,,,0,1.0,Maison,,82.0,5,S,,70.0,2681.7073170731705
,,,,,,,1,03/01/2022,Vente,185000.0,22.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,MO,237,,214,"62,83",232,,,,,,,,2,2.0,Appartement,,63.0,3,,,,2936.5079365079364
,,,,,,,1,03/01/2022,Vente,185000.0,22.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,MO,237,,214,"62,83",232,,,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,03/01/2022,Vente,185000.0,22.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,MO,237,,261,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,03/01/2022,Vente,185000.0,22.0,,RUE,8749,DE TREVISE,59000.0,LILLE,59,350,,MO,237,,262,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,04/01/2022,Vente,120350.0,132.0,,RUE,7554,ROGER SALENGRO,59260.0,LILLE,59,350,298.0,AN,750,,518,"43,64",,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,04/01/2022,Vente,120350.0,132.0,,RUE,7554,ROGER SALENGRO,59260.0,LILLE,59,350,298.0,AN,750,,518,"43,64",,,,,,,,,1,2.0,Appartement,,38.0,2,,,,3167.1052631578946
,,,,,,,1,04/01/2022,Vente,180000.0,42.0,,AV,1569,CHARLES ST VENANT,59800.0,LILLE,59,350,,TM,26,,1258,,1325,,,,,,,,2,2.0,Appartement,,50.0,2,,,,3600.0
,,,,,,,1,04/01/2022,Vente,180000.0,42.0,,AV,1569,CHARLES ST VENANT,59800.0,LILLE,59,350,,TM,26,,1258,,1325,,,,,,,,2,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,3.0,Dépendance,,0.0,0,S,,274.0,inf
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,10.0,1,S,,274.0,30000.0
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,28.0,1,S,,274.0,10714.285714285714
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,27.0,1,S,,274.0,11111.111111111111
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,11.0,1,S,,274.0,27272.727272727272
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,11.0,1,S,,274.0,27272.727272727272
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,26.0,1,S,,274.0,11538.461538461539
,,,,,,,1,10/01/2022,Vente,300000.0,119.0,,RUE,6789,DE PHILADELPHIE,59800.0,LILLE,59,350,,BV,126,,,,,,,,,,,,0,2.0,Appartement,,22.0,1,S,,274.0,13636.363636363636
,,,,,,,1,07/01/2022,Vente,338600.0,80.0,,RUE,5031,DE JEMMAPES,59800.0,LILLE,59,350,,HI,94,,4,"68,79",,,,,,,,,1,2.0,Appartement,,80.0,3,,,,4232.5
,,,,,,,1,05/01/2022,Vente,305000.0,81.0,,CHE,5922,DES MARGUERITOIS,59000.0,LILLE,59,350,,CZ,242,,,,,,,,,,,,0,1.0,Maison,,165.0,4,S,,121.0,1848.4848484848485
,,,,,,,2,07/01/2022,Vente,180000.0,10.0,,RLE,8064,SAINT SAUVEUR,59260.0,LILLE,59,350,298.0,AM,15,,,,,,,,,,,,0,1.0,Maison,,58.0,3,S,,35.0,3103.448275862069
,,,,,,,1,06/01/2022,Vente,230000.0,33.0,,RUE,5818,MALESHERBES,59800.0,LILLE,59,350,,XD,202,,,,,,,,,,,,0,1.0,Maison,,96.0,5,S,,99.0,2395.8333333333335
,,,,,,,1,07/01/2022,Vente,20000.0,28.0,,RUE,1194,DU BUISSON,59800.0,LILLE,59,350,,AZ,338,,588,,,,,,,,,,1,3.0,Dépendance,,0.0,0,,,,inf
,,,,,,,1,06/01/2022,Vente,80000.0,12.0,,RUE,5908,DU MARECHAL MORTIER,59800.0,LILLE,59,350,,CD,125,,3,,,,,,,,,,1,2.0,Appartement,,41.0,2,,,,1951.219512195122
,,,,,,,1,06/01/2022,Vente,367000.0,2.0,,RUE,6568,DU PALAIS RIHOUR,59800.0,LILLE,59,350,,LR,287,,65,,,,,,,,,,1,2.0,Appartement,,92.0,4,,,,3989.1304347826085
